GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
customer_project,Application.config,SwaggerConfig,68,0,0,0,14,0,4,0,4,0
customer_project,Application.Exception,UnknownStaffException,17,0,0,0,8,0,3,0,3,0
customer_project,Application.Exception,UnknownAddressException,17,0,0,0,8,0,3,0,3,0
customer_project,Application.Exception,UnknownCustomerException,17,0,0,0,8,0,3,0,3,0
customer_project,Application.Exception,UnknownCountryException,17,0,0,0,8,0,3,0,3,0
customer_project,Application.Exception,UnknownCityException,17,0,0,0,8,0,3,0,3,0
customer_project,Application.Exception,UnknownStoreException,17,0,0,0,8,0,3,0,3,0
customer_project,Application.Dao,StaffDaoImplementation,242,58,8,0,65,17,11,2,7,2
customer_project,Application.Dao,AddressDaoImplementation,208,62,8,0,57,17,9,2,5,2
customer_project,Application.Dao,StoreDaoImplementation,174,42,8,0,43,11,12,2,8,2
customer_project,Application.Dao,CustomerDaoImplementation,222,60,8,0,59,16,11,2,7,2
customer_project,Application.Dao,CityDaoImplementation,139,38,6,0,37,11,8,2,5,2
customer_project,Application.Dao,CountryDaoImplementation,92,33,4,0,27,10,5,2,3,2
customer_project,Application.Controller,CountryController,66,0,0,0,22,0,5,0,5,0
customer_project,Application.Controller,CustomerController,130,0,0,0,50,0,5,0,5,0
customer_project,Application.Controller,StoreController,97,0,0,0,35,0,5,0,5,0
customer_project,Application.Controller,CityController,86,0,0,0,30,0,5,0,5,0
customer_project,Application.Controller,StaffController,149,0,0,0,59,0,5,0,5,0
customer_project,Application.Controller,AddressController,141,0,0,0,55,0,5,0,5,0
customer_project,Application,App,8,0,0,0,3,0,2,0,2,0
customer_project,Application.Service,CustomerServiceImplementation,20,0,0,0,7,0,4,0,4,0
customer_project,Application.Service,StaffServiceImplementation,20,0,0,0,7,0,4,0,4,0
customer_project,Application.Service,AddressServiceImplementation,20,0,0,0,7,0,4,0,4,0
customer_project,Application.Service,CountryServiceImplementation,20,0,0,0,7,0,4,0,4,0
customer_project,Application.Service,CityServiceImplementation,20,0,0,0,7,0,4,0,4,0
customer_project,Application.Service,StoreServiceImplementation,0,20,0,0,0,7,0,4,0,4
